"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Albadraco_tharmisensis","Azhdarchoidea","Azhdarchidae",602.4,34.296,34.5,55.3,71.9,79.3,0.06,0.21,0.15,11507.300567785,292.374182822584,7.88381597105206,104.12878042883,146761530.637748
"Nipponopterus_mifunensis","Azhdarchoidea","Azhdarchidae",337,7.315,18.1,29.8,40.6,44.8,0.06,0.21,0.15,3535.44494137371,202.973462152453,8.03074308066245,71.6244654128338,13781211.690139
"Arambourgiania_philadelphiae","Azhdarchoidea","Azhdarchidae",940,112.013,52,84,112.8,122.5,0.06,0.21,0.15,26818.0682512924,409.741492080454,8.23698403367866,142.766342154906,808125430.883207
"Tupuxuara_leonardii","Azhdarchoidea","Thalassodromeidae",338.8,7.42,23.4,29.1,35.9,42.3,0.06,0.21,0.15,1210.73703334085,601.205695337046,23.7015629403988,123.490796954744,4500699.99352782
"Thalassodromeus_oberlii","Azhdarchoidea","Thalassodromeidae",365.8,9.099,21.1,31.2,39.5,41.9,0.06,0.21,0.15,5923.62824044704,150.686684539919,5.64728383384765,63.4096081603792,27100516.3280339
"Caupedactylus_ybaka","Azhdarchoidea","Tapejaridae",297,5.227,17.5,24.8,28.3,37.5,0.06,0.21,0.15,2410.05287003768,212.76242790142,9.15011047025506,70.336664414635,7218524.99406519
"Aymberedactylus_cearensis","Azhdarchoidea","Tapejaridae",243,3.065,14.2,20.2,22.7,30.5,0.06,0.21,0.15,1592.82958534215,188.768781523739,9.26794061075212,62.0066903851015,3148869.41808077
"Sinopterus_dongi","Azhdarchoidea","Tapejaridae",195.6,1.722,5.9,8.8,9.5,12.1,0.06,0.21,0.15,238.117280928716,709.43276078552,40.1686091941533,111.935499699584,83477.8573351499
"Eopteranodon_lii","Azhdarchoidea","Tapejaridae",122.7,0.498,6.5,10,13.3,13.2,0.06,0.21,0.15,561.13653059996,87.0622341193259,6.70749861174742,33.6162691090303,279467.831298489
"Wightia_declivirostris","Azhdarchoidea","Tapejaridae",113.1,0.401,5.9,9.2,11.9,14.8,0.06,0.21,0.15,391.745456650403,100.417501548986,8.1632152861286,35.1462332206901,166356.455487727
"Europejara_olcadesorum","Azhdarchoidea","Tapejaridae",206.1,1.979,11,17.4,20.5,24.8,0.06,0.21,0.15,1211.23450892487,160.282669102885,8.76733813456655,54.131827304375,1687655.15449804
"Tupandactylus_imperator","Azhdarchoidea","Tapejaridae",350.9,8.148,15.6,22.3,23.5,35.6,0.06,0.21,0.15,1714.61407950492,466.180004908625,17.9531375998547,110.022994847483,4077294.59941431
"Tupandactylus_navigans","Azhdarchoidea","Tapejaridae",220.6,2.369,12.6,18.6,18.4,31.8,0.06,0.21,0.15,1242.14180514786,187.095305090658,9.79444532788411,59.782347738709,2044379.00608305
"Tapejara_wellnhoferi","Azhdarchoidea","Tapejaridae",143.6,0.756,9.6,10.4,10,16.2,0.06,0.21,0.15,486.179595282332,152.543629390559,10.6035712934564,46.845512518274,347499.564729196
"Torukjara_bandeirae","Azhdarchoidea","Tapejaridae",140,0.707,8.2,11.7,13.2,17.7,0.06,0.21,0.15,539.051802353086,128.664257678468,9.09003546340141,42.6751572346928,358633.126278796
"Caiuajara_dobruskii","Azhdarchoidea","Tapejaridae",174.2,1.265,9.9,14.1,15.7,21.3,0.06,0.21,0.15,549.958582209155,225.646992363517,13.7945115239875,60.7542111230489,556266.828206213
